Word,Count
*,1041
the,289
,210
@param,116
to,112
may,103
an,93
is,82
for,78
License,72
persistent,71
or,70
use,64
file,59
not,57
you,54
This,52
be,51
class,48
of,48
content,48
program,47
work,47
every,47
lost,46
time,46
Licensee:,46
separator,46
regenerated,46
its,46
cause,46
NOT,46
Paradigm:,46
\"\Visual\,46
MODIFY,46
DO,46
will,46
generate,46
\work,\,46
your,46
Type:,46
automatic,46
THIS,46
Modifying,46
It,46
generated,46
DuKe,46
Purchased,46
TeAm,46
persistence,46
\FILE!"\\,46
a,44
The,44
object,43
if,42
in,42
character,38
quote,36
specified,35
objects,34
@return,33
and,32
with,31
array,30
line,26
supplied,25
Return,23
Constructs,21
CSV,20
reader,20
under,19
underlying,18
separating,18
delimiter,18
entries,18
quoted,18
elements,16
sorted,16
writer,15
char,15
quotechar,15
source,15
value,15
true,14
all,14
escape,14
this,14
containing,12
at,12
ORMSet,12
CSVReader,12
distributed,11
ORMList,11
escaping,11
key,10
position,9
@throws,9
iterator,9
sorting:<ul>,8
<li>ID</li>,8
are,8
quotes,8
Name,8
*************************************************************************************,8
index,8
default,8
</ul>,8
from,8
on,8
property,8
current,8
propertyName,8
by,8
contains,8
ignored,7
IOException,7
constructor,7
none,7
start,6
bad,6
//////////////////////////////////////////////////////////////////////////,6
Copyright,6
things,6
there,6
characters,6
CSVWriter,6
happen,6
ORMMap,6
over,6
\License,\,5
either,5
\writing,\,5
false,5
You,5
TODO:,5
\BASIS,\,5
compliance,5
outside,5
software,5
Bytecode,5
Version,5
required,5
law,5
WARRANTIES,5
\KIND,\,5
Unless,5
strictQuotes,5
2.0,5
See,5
obtain,5
Remove,5
ANY,5
-,5
Apache,5
except,5
express,5
limitations,5
nextLine,5
\"\License"\);\,5
reading,5
OF,5
next,5
governing,5
agreed,5
Licensed,5
specific,5
2005,5
permissions,5
copy,5
Ltd,5
Implement,5
http://www.apache.org/licenses/LICENSE-2.0,5
WITHOUT,5
Method,5
language,5
CONDITIONS,5
(the,5
\IS"\\,5
each,5
applicable,5
\"\AS\,5
implied,5
OR,5
@author,5
Pty,5
skip,4
was,4
<li>NPezzi</li>,4
ascending,4
persisten,4
<li>id_item</li>,4
string,4
number,4
text,4
when,4
todo,4
