File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\Main.java,38,26,21,0,12,0,0,0,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\application\Controller\ctrlElaboraPreventivo.java,111,92,74,3,19,0,0,0,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\application\Controller\ctrlMain.java,4,3,2,0,1,0,0,0,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\Model\AModel.java,16,11,8,1,5,0,0,0,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\Model\MCliente.java,7,3,2,0,1,0,3,11,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\Model\MDistintaLavorazione.java,10,7,5,0,3,0,0,0,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\Model\MElementoDistinta.java,12,9,6,0,3,0,0,0,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\Model\MPreventivo.java,99,85,68,7,14,0,0,0,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\APersistentModel.java,4,3,2,0,1,0,0,0,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\Bulloni.java,35,15,10,2,8,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\BulloniCriteria.java,59,36,29,3,11,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\BulloniDAO.java,348,302,208,70,34,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\BulloniDetachedCriteria.java,60,38,32,3,10,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\Cliente.java,92,53,37,8,24,0,15,68,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ClienteCriteria.java,57,35,29,2,10,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ClienteDAO.java,315,273,188,63,30,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ClienteDetachedCriteria.java,59,38,33,2,9,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\Coedil99PersistentManager.java,95,65,47,7,18,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\DistintaLavorazione.java,66,37,26,8,17,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\DistintaLavorazioneCriteria.java,51,28,21,3,11,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\DistintaLavorazioneDAO.java,315,273,188,63,30,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\DistintaLavorazioneDetachedCriteria.java,48,26,20,3,10,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ElementoDistinta.java,109,67,47,10,30,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ElementoDistintaCriteria.java,63,40,33,3,11,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ElementoDistintaDAO.java,315,273,188,63,30,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ElementoDistintaDetachedCriteria.java,66,44,38,3,10,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ElementoDistintaListCollection.java,162,57,38,14,20,0,85,384,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ElementoDistintaSetCollection.java,111,36,24,7,15,0,60,254,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\Item.java,122,76,52,11,29,0,17,71,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ItemCriteria.java,57,34,27,3,11,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ItemDAO.java,344,299,206,69,33,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ItemDetachedCriteria.java,57,35,29,3,10,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ItemMapCollection.java,124,45,30,10,17,0,62,316,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ItemSetCollection.java,105,36,24,7,15,0,54,242,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\Lastre.java,35,15,10,2,8,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\LastreCriteria.java,59,36,29,3,11,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\LastreDAO.java,348,302,208,70,34,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\LastreDetachedCriteria.java,60,38,32,3,10,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ListaRintracciabilita.java,59,32,22,5,15,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ListaRintracciabilitaCriteria.java,51,29,23,2,10,0,12,55,12,55
